% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: R.A. Fisher
%      (b) Donor: Michael Marshall (MARSHALL%PLU@io.arc.nasa.gov)
%      (c) Date: July, 1988
% 
% 3. Past Usage:
%    - Publications: too many to mention!!!  Here are a few.
%    1. Fisher,R.A. "The use of multiple measurements in taxonomic problems"
%       Annual Eugenics, 7, Part II, 179-188 (1936); also in "Contributions
%       to Mathematical Statistics" (John Wiley, NY, 1950).
%    2. Duda,R.O., & Hart,P.E. (1973) Pattern Classification and Scene Analysis.
%       (Q327.D83) John Wiley & Sons.  ISBN 0-471-22361-1.  See page 218.
%    3. Dasarathy, B.V. (1980) "Nosing Around the Neighborhood: A New System
%       Structure and Classification Rule for Recognition in Partially Exposed
%       Environments".  IEEE Transactions on Pattern Analysis and Machine
%       Intelligence, Vol. PAMI-2, No. 1, 67-71.
%       -- Results:
%          -- very low misclassification rates (0% for the setosa class)
%    4. Gates, G.W. (1972) "The Reduced Nearest Neighbor Rule".  IEEE 
%       Transactions on Information Theory, May 1972, 431-433.
%       -- Results:
%          -- very low misclassification rates again
%    5. See also: 1988 MLC Proceedings, 54-64.  Cheeseman et al's AUTOCLASS II
%       conceptual clustering system finds 3 classes in the data.
% 
% 4. Relevant Information:
%    --- This is perhaps the best known database to be found in the pattern
%        recognition literature.  Fisher's paper is a classic in the field
%        and is referenced frequently to this day.  (See Duda & Hart, for
%        example.)  The data set contains 3 classes of 50 instances each,
%        where each class refers to a type of iris plant.  One class is
%        linearly separable from the other 2; the latter are NOT linearly
%        separable from each other.
%    --- Predicted attribute: class of iris plant.
%    --- This is an exceedingly simple domain.
% 
% 5. Number of Instances: 150 (50 in each of three classes)
% 
% 6. Number of Attributes: 4 numeric, predictive attributes and the class
% 
% 7. Attribute Information:
%    1. sepal length in cm
%    2. sepal width in cm
%    3. petal length in cm
%    4. petal width in cm
%    5. class: 
%       -- Iris Setosa
%       -- Iris Versicolour
%       -- Iris Virginica
% 
% 8. Missing Attribute Values: None
% 
% Summary Statistics:
%  	           Min  Max   Mean    SD   Class Correlation
%    sepal length: 4.3  7.9   5.84  0.83    0.7826   
%     sepal width: 2.0  4.4   3.05  0.43   -0.4194
%    petal length: 1.0  6.9   3.76  1.76    0.9490  (high!)
%     petal width: 0.1  2.5   1.20  0.76    0.9565  (high!)
% 
% 9. Class Distribution: 33.3% for each of 3 classes.

@RELATION iris

@ATTRIBUTE sepallength	REAL
@ATTRIBUTE sepalwidth 	REAL
@ATTRIBUTE petallength 	REAL
@ATTRIBUTE petalwidth	REAL

@DATA
2.058423, 0.369788, 2.992885, -1.531272
2.126348, 0.176120, 2.796344, -1.481276
1.905227, 0.329897, 2.752400, -1.411269
1.920066, 0.377429, 2.838331, -1.444215
1.957530, 0.462464, 3.005123, -1.510321
2.105183, 0.563190, 3.326239, -1.656392
1.763033, 0.507136, 2.836527, -1.404508
2.053926, 0.385746, 3.010396, -1.536113
1.853066, 0.314624, 2.668092, -1.369583
2.129261, 0.262995, 2.924444, -1.525608
2.187786, 0.394063, 3.182460, -1.628011
1.948537, 0.494380, 3.040145, -1.520004
2.086093, 0.215806, 2.805113, -1.474239
1.716273, 0.313735, 2.503173, -1.279388
2.263639, 0.307659, 3.149263, -1.635594
2.060949, 0.655180, 3.405274, -1.672285
2.027840, 0.436894, 3.052556, -1.543971
2.036316, 0.368632, 2.964779, -1.516201
2.352908, 0.394610, 3.380777, -1.736629
1.940061, 0.562643, 3.127922, -1.547775
2.342048, 0.294774, 3.224580, -1.680753
1.956484, 0.507341, 3.068243, -1.531547
1.630737, 0.490289, 2.654097, -1.309471
2.127169, 0.352749, 3.050683, -1.568061
2.006544, 0.589102, 3.245407, -1.604320
2.227382, 0.200737, 2.952521, -1.559593
2.029048, 0.415007, 3.022606, -1.534076
2.140121, 0.362832, 3.080641, -1.581484
2.159316, 0.277112, 2.980646, -1.552223
1.963235, 0.424619, 2.957661, -1.495584
2.064127, 0.331943, 2.945423, -1.516535
2.259162, 0.229313, 3.031528, -1.594400
1.931048, 0.688863, 3.298189, -1.603493
2.038163, 0.594688, 3.291244, -1.627795
2.129261, 0.262995, 2.924444, -1.525608
2.072979, 0.182733, 2.741986, -1.449485
2.288538, 0.184094, 3.001807, -1.591595
2.129261, 0.262995, 2.924444, -1.525608
1.795200, 0.337196, 2.631245, -1.342634
2.116289, 0.347216, 3.029731, -1.558221
1.954618, 0.375588, 2.877023, -1.465988
2.105166, -0.081510, 2.401458, -1.341576
1.718140, 0.445488, 2.694392, -1.344947
1.946303, 0.466841, 2.997969, -1.505091
1.995297, 0.687782, 3.373499, -1.645125
2.041879, 0.213493, 2.748903, -1.444097
1.981504, 0.595373, 3.224447, -1.590951
1.862201, 0.400001, 2.801485, -1.417266
2.125424, 0.432593, 3.163124, -1.605904
2.073121, 0.300027, 2.910401, -1.506852
3.731693, 0.503341, 5.186160, -2.694459
3.296739, 0.670217, 4.905199, -2.490534
3.724425, 0.549716, 5.243987, -2.712335
3.029783, 0.374120, 4.161120, -2.170778
3.532558, 0.446678, 4.866660, -2.536121
3.058536, 0.725657, 4.699764, -2.361300
