% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: R.A. Fisher
%      (b) Donor: Michael Marshall (MARSHALL%PLU@io.arc.nasa.gov)
%      (c) Date: July, 1988
% 
% 3. Past Usage:
%    - Publications: too many to mention!!!  Here are a few.
%    1. Fisher,R.A. "The use of multiple measurements in taxonomic problems"
%       Annual Eugenics, 7, Part II, 179-188 (1936); also in "Contributions
%       to Mathematical Statistics" (John Wiley, NY, 1950).
%    2. Duda,R.O., & Hart,P.E. (1973) Pattern Classification and Scene Analysis.
%       (Q327.D83) John Wiley & Sons.  ISBN 0-471-22361-1.  See page 218.
%    3. Dasarathy, B.V. (1980) "Nosing Around the Neighborhood: A New System
%       Structure and Classification Rule for Recognition in Partially Exposed
%       Environments".  IEEE Transactions on Pattern Analysis and Machine
%       Intelligence, Vol. PAMI-2, No. 1, 67-71.
%       -- Results:
%          -- very low misclassification rates (0% for the setosa class)
%    4. Gates, G.W. (1972) "The Reduced Nearest Neighbor Rule".  IEEE 
%       Transactions on Information Theory, May 1972, 431-433.
%       -- Results:
%          -- very low misclassification rates again
%    5. See also: 1988 MLC Proceedings, 54-64.  Cheeseman et al's AUTOCLASS II
%       conceptual clustering system finds 3 classes in the data.
% 
% 4. Relevant Information:
%    --- This is perhaps the best known database to be found in the pattern
%        recognition literature.  Fisher's paper is a classic in the field
%        and is referenced frequently to this day.  (See Duda & Hart, for
%        example.)  The data set contains 3 classes of 50 instances each,
%        where each class refers to a type of iris plant.  One class is
%        linearly separable from the other 2; the latter are NOT linearly
%        separable from each other.
%    --- Predicted attribute: class of iris plant.
%    --- This is an exceedingly simple domain.
% 
% 5. Number of Instances: 150 (50 in each of three classes)
% 
% 6. Number of Attributes: 4 numeric, predictive attributes and the class
% 
% 7. Attribute Information:
%    1. sepal length in cm
%    2. sepal width in cm
%    3. petal length in cm
%    4. petal width in cm
%    5. class: 
%       -- Iris Setosa
%       -- Iris Versicolour
%       -- Iris Virginica
% 
% 8. Missing Attribute Values: None
% 
% Summary Statistics:
%  	           Min  Max   Mean    SD   Class Correlation
%    sepal length: 4.3  7.9   5.84  0.83    0.7826   
%     sepal width: 2.0  4.4   3.05  0.43   -0.4194
%    petal length: 1.0  6.9   3.76  1.76    0.9490  (high!)
%     petal width: 0.1  2.5   1.20  0.76    0.9565  (high!)
% 
% 9. Class Distribution: 33.3% for each of 3 classes.

@RELATION iris

@ATTRIBUTE sepallength	REAL
@ATTRIBUTE sepalwidth 	REAL
@ATTRIBUTE petallength 	REAL
@ATTRIBUTE petalwidth	REAL

@DATA
0.908621, 3.329431, -0.127933, 2.147144
0.790093, 2.941046, -0.015382, 1.946300
0.831569, 3.054909, -0.100769, 1.978551
0.773376, 2.931783, 0.095478, 1.996496
0.921859, 3.378108, -0.129443, 2.178719
0.981187, 3.695037, 0.069926, 2.490636
0.856659, 3.194180, -0.005522, 2.119501
0.865429, 3.222815, -0.014054, 2.134190
0.731992, 2.768081, 0.076131, 1.877893
0.789668, 2.956214, 0.019578, 1.974148
0.957482, 3.513848, -0.123587, 2.271885
0.835474, 3.164876, 0.098315, 2.152811
0.776477, 2.882618, -0.031279, 1.899397
0.784093, 2.828574, -0.203381, 1.776009
1.094537, 3.854411, -0.480224, 2.316885
1.137194, 4.137157, -0.222362, 2.635822
1.041190, 3.761077, -0.259547, 2.367043
0.914760, 3.367145, -0.097035, 2.187908
0.976765, 3.650077, 0.010536, 2.430575
0.961904, 3.558808, -0.064197, 2.331946
0.865336, 3.272655, 0.090679, 2.220542
0.947328, 3.527130, -0.016788, 2.334997
0.951953, 3.361289, -0.398912, 2.030571
0.840606, 3.254259, 0.244886, 2.286703
0.790472, 3.115346, 0.345419, 2.245506
0.767569, 2.928741, 0.134354, 2.014235
0.862705, 3.281732, 0.130110, 2.246616
0.901098, 3.333636, -0.060566, 2.184181
0.895384, 3.280755, -0.126424, 2.115569
0.786567, 3.005379, 0.146336, 2.071246
0.773329, 2.956702, 0.147845, 2.039671
0.907615, 3.381102, -0.012260, 2.240272
1.019248, 3.712270, -0.190524, 2.369698
1.083534, 3.898029, -0.303506, 2.435692
0.789668, 2.956214, 0.019578, 1.974148
0.869001, 3.133563, -0.228139, 1.966069
0.953530, 3.428801, -0.270304, 2.140800
0.789668, 2.956214, 0.019578, 1.974148
0.767708, 2.853982, -0.022747, 1.884708
0.872906, 3.243530, -0.029055, 2.140329
0.922283, 3.362940, -0.164402, 2.150871
0.636320, 2.426673, 0.108721, 1.667617
0.809137, 2.992764, -0.055767, 1.960135
0.895697, 3.426550, 0.175397, 2.365857
0.908040, 3.530481, 0.296174, 2.496303
0.788754, 2.958045, 0.030517, 1.980925
0.940764, 3.504585, -0.012727, 2.322081
0.809091, 3.017684, -0.003400, 2.003311
0.950005, 3.493133, -0.108586, 2.265747
0.859714, 3.169934, -0.079912, 2.065579
0.567185, 3.422570, 2.725512, 3.659447
0.558462, 3.369014, 2.681678, 3.601582
0.515131, 3.337157, 2.952657, 3.718156
0.367461, 2.565184, 2.491637, 2.970895
0.468080, 3.095655, 2.815085, 3.487766
0.410986, 2.871019, 2.790926, 3.326231
