% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: R.A. Fisher
%      (b) Donor: Michael Marshall (MARSHALL%PLU@io.arc.nasa.gov)
%      (c) Date: July, 1988
% 
% 3. Past Usage:
%    - Publications: too many to mention!!!  Here are a few.
%    1. Fisher,R.A. "The use of multiple measurements in taxonomic problems"
%       Annual Eugenics, 7, Part II, 179-188 (1936); also in "Contributions
%       to Mathematical Statistics" (John Wiley, NY, 1950).
%    2. Duda,R.O., & Hart,P.E. (1973) Pattern Classification and Scene Analysis.
%       (Q327.D83) John Wiley & Sons.  ISBN 0-471-22361-1.  See page 218.
%    3. Dasarathy, B.V. (1980) "Nosing Around the Neighborhood: A New System
%       Structure and Classification Rule for Recognition in Partially Exposed
%       Environments".  IEEE Transactions on Pattern Analysis and Machine
%       Intelligence, Vol. PAMI-2, No. 1, 67-71.
%       -- Results:
%          -- very low misclassification rates (0% for the setosa class)
%    4. Gates, G.W. (1972) "The Reduced Nearest Neighbor Rule".  IEEE 
%       Transactions on Information Theory, May 1972, 431-433.
%       -- Results:
%          -- very low misclassification rates again
%    5. See also: 1988 MLC Proceedings, 54-64.  Cheeseman et al's AUTOCLASS II
%       conceptual clustering system finds 3 classes in the data.
% 
% 4. Relevant Information:
%    --- This is perhaps the best known database to be found in the pattern
%        recognition literature.  Fisher's paper is a classic in the field
%        and is referenced frequently to this day.  (See Duda & Hart, for
%        example.)  The data set contains 3 classes of 50 instances each,
%        where each class refers to a type of iris plant.  One class is
%        linearly separable from the other 2; the latter are NOT linearly
%        separable from each other.
%    --- Predicted attribute: class of iris plant.
%    --- This is an exceedingly simple domain.
% 
% 5. Number of Instances: 150 (50 in each of three classes)
% 
% 6. Number of Attributes: 4 numeric, predictive attributes and the class
% 
% 7. Attribute Information:
%    1. sepal length in cm
%    2. sepal width in cm
%    3. petal length in cm
%    4. petal width in cm
%    5. class: 
%       -- Iris Setosa
%       -- Iris Versicolour
%       -- Iris Virginica
% 
% 8. Missing Attribute Values: None
% 
% Summary Statistics:
%  	           Min  Max   Mean    SD   Class Correlation
%    sepal length: 4.3  7.9   5.84  0.83    0.7826   
%     sepal width: 2.0  4.4   3.05  0.43   -0.4194
%    petal length: 1.0  6.9   3.76  1.76    0.9490  (high!)
%     petal width: 0.1  2.5   1.20  0.76    0.9565  (high!)
% 
% 9. Class Distribution: 33.3% for each of 3 classes.

@RELATION iris

@ATTRIBUTE sepallength	REAL
@ATTRIBUTE sepalwidth 	REAL
@ATTRIBUTE petallength 	REAL
@ATTRIBUTE petalwidth	REAL

@DATA
4.707899, 0.534169, -0.909761, 1.257107
4.521942, 0.364171, -0.668123, 1.239161
4.342375, 0.477942, -0.818745, 1.162646
4.242220, 0.350158, -0.638556, 1.160695
4.616185, 0.567662, -0.952686, 1.223269
5.027458, 0.516112, -0.896477, 1.354002
4.273897, 0.491402, -0.834841, 1.139840
4.611603, 0.453168, -0.794345, 1.246317
4.061207, 0.328510, -0.602042, 1.112597
4.491711, 0.358347, -0.658973, 1.231599
4.980987, 0.556179, -0.950134, 1.331938
4.423594, 0.405662, -0.721853, 1.201688
4.403134, 0.370914, -0.673103, 1.203130
3.954338, 0.509459, -0.848125, 1.042945
5.361948, 0.799541, -1.300242, 1.391042
5.313208, 0.780038, -1.271521, 1.381003
5.042895, 0.703248, -1.155569, 1.318646
4.734633, 0.527064, -0.900922, 1.266404
5.276587, 0.490446, -0.870110, 1.432010
4.731857, 0.581845, -0.976501, 1.253930
4.972184, 0.361046, -0.680236, 1.370929
4.758230, 0.540886, -0.920878, 1.270332
4.263324, 0.753352, -1.196340, 1.080978
4.775799, 0.304794, -0.595357, 1.325725
4.412017, 0.265310, -0.527534, 1.228206
4.606298, 0.270965, -0.542436, 1.283573
4.661211, 0.392176, -0.711893, 1.273750
4.796114, 0.487746, -0.848847, 1.292680
4.799612, 0.500675, -0.866836, 1.290945
4.330797, 0.337591, -0.624426, 1.189163
4.422510, 0.304097, -0.581501, 1.223001
5.033370, 0.440405, -0.792104, 1.371846
4.771549, 0.697980, -1.138390, 1.240756
5.078728, 0.772598, -1.252686, 1.314311
4.491711, 0.358347, -0.658973, 1.231599
4.622459, 0.525810, -0.895096, 1.234008
5.080057, 0.582398, -0.989971, 1.355202
4.491711, 0.358347, -0.658973, 1.231599
4.065428, 0.409148, -0.713599, 1.096654
4.703678, 0.453530, -0.798204, 1.273050
4.646417, 0.573487, -0.961836, 1.230831
4.181706, 0.165421, -0.381132, 1.182415
4.066151, 0.476858, -0.807167, 1.082445
4.715040, 0.411822, -0.740999, 1.285241
4.743154, 0.387605, -0.708569, 1.298584
4.456601, 0.356706, -0.655424, 1.221725
4.701264, 0.542165, -0.920567, 1.253472
4.246441, 0.430797, -0.750113, 1.144752
4.888912, 0.555817, -0.946274, 1.305205
4.615101, 0.466097, -0.812334, 1.244582
6.649681, -1.189650, 1.400843, 2.189618
6.131685, -1.105355, 1.303292, 2.020835
6.576260, -1.324539, 1.589872, 2.196964
5.265589, -1.165173, 1.417538, 1.781381
6.218455, -1.287197, 1.551342, 2.084825
5.432249, -1.229096, 1.499765, 1.843522
6.058987, -1.172534, 1.398753, 2.013972
4.660316, -0.784687, 0.913981, 1.524109
6.257424, -1.238772, 1.483020, 2.085860
5.021403, -0.991158, 1.186046, 1.673221
4.743227, -1.013312, 1.226804, 1.596938
5.682167, -1.034520, 1.221838, 1.874858
5.645400, -1.175908, 1.418508, 1.894261
5.819924, -1.294467, 1.575929, 1.970328
5.375269, -0.774547, 0.873883, 1.730132
6.384674, -1.084238, 1.264886, 2.090004
5.394364, -1.175956, 1.427735, 1.821174
5.459199, -1.054141, 1.257080, 1.814111
5.943922, -1.444627, 1.778850, 2.038411
5.308779, -1.036110, 1.237660, 1.766472
5.739934, -1.268827, 1.543426, 1.941576
5.819845, -0.993731, 1.160462, 1.906261
6.021643, -1.529836, 1.893731, 2.079188
5.766096, -1.314114, 1.605035, 1.958837
6.084852, -1.099143, 1.296420, 2.005875
6.292238, -1.118454, 1.315529, 2.070374
6.460227, -1.372576, 1.660471, 2.173407
6.441357, -1.420109, 1.726826, 2.178034
5.762302, -1.208365, 1.459081, 1.935213
5.389918, -0.807653, 0.919085, 1.741448
5.220202, -1.023542, 1.223530, 1.738004
5.197327, -0.969654, 1.149918, 1.719867
5.520385, -0.974781, 1.145212, 1.815028
5.765157, -1.563883, 1.950127, 2.011754
5.210215, -1.176679, 1.435453, 1.767707
5.790843, -1.046195, 1.234001, 1.908989
6.399829, -1.231694, 1.468044, 2.125818
5.986750, -1.349418, 1.645756, 2.030606
5.356334, -0.974612, 1.150964, 1.767223
5.266312, -1.097464, 1.323970, 1.767172
5.224502, -1.243640, 1.527439, 1.786127
5.824145, -1.213829, 1.464372, 1.954384
5.516164, -1.055420, 1.256769, 1.830971
4.752029, -0.818180, 0.956906, 1.557947
